沙角台高，乱帆收向天边。	广州沙角炮台高高耸立，外国走私鸦片的船都远远地躲开了。
微微风簇浪，散作满河星。	微风轻拂，吹起簇簇细浪，水面上的光点被吹散，如同满河星光。
高登桥下水汤汤，朝涉河边露气凉。	我经过高登桥的时候，于朦胧夜色中，见得桥下水流汤汤，河边露气正浓，带有凌晨的丝丝凉气。
行过淇园天未晓，一痕残月杏花香。	当我走过淇园的时候天还未破晓，远处的天边，挂着一钩下弦的残月，近处的杏花，在清晓淡淡的月光之下，正吐出沁人心脾的香气。
晓风催我挂帆行，绿涨春芜岸欲平。	清晨的风催促我挂忱符，春天乘船在江面行驶，两岸长满绿草好像与整个堤岸相平。
长水塘南三日雨，菜花香过秀州城。	长水塘下了三天的雨，菜花散发的脉脉清香在春风里一阵阵掠过整个秀州城。
夙雾才醒后，朝阳未吐间。	早晨的浓雾刚刚散去，东边的太阳还没有升起。
翠烟遥辨市，红树忽移湾。	青烟袅袅，遥望前方市镇依稀可辨；被朝霞染红的树木，仿佛忽然移到了河湾。
风软一江水，云轻九子山。	风吹过江面，泛起微微涟漪，像轻绸软缎在波动；九子山巅高出云表，像轻轻浮在银色的海面。
画家浓淡意，斟酌在荆关。	即便是荆关再世，要描画这山光水色，也得为笔墨浓淡费一番斟酌吧！
平远江山极目回，古祠漠漠背城开。	纵目远眺，只见见江流蜿蜒，远山逶迤，近处古老的三闾祠，却萧条冷落，背城而立。
莫嫌举世无知己，未有庸人不忌才。	不要埋怨当时无人了解你忠心耿耿，历史上没有庸俗小人不忌贤妒才。
放逐肯消亡国恨？岁时犹动楚人哀！	驱逐流放哪里能消除亡国之恨，直至今日逢年过节也总是激起楚人的悲哀！
湘兰沅芷年年绿，想见吟魂自往来。	蕙兰白芷年年绿遍湘江沅江两岸，料你英灵定会眷怀故地常来常往。
黄花古渡接芦溪，行过萍乡路渐低。	我从黄花渡登岸后直接就踏上了去芦溪的路程，过了萍乡之后，路面渐渐低平。
吠犬鸣鸡村远近，乳鹅新鸭岸东西。	村子错落有致，时不时听到有鸡鸣狗叫声传入耳中；出生不久的小鹅和小鸭在河两岸悠闲觅食。
丝缫细雨沾衣润，刀剪良苗出水齐。	如丝细雨绵绵而下沾湿行人衣，田地间青绿的秧苗齐整整地就好像是谁用剪刀修剪过一样。
犹与湖南风土近，春深无处不耕犁。	这里的风土人情跟湖南很相似，谷雨过后，处处都是犁铧翻土的农耕景象。
湖面宽千顷，湖流浅半篙。	因为天旱，宽阔的湖里却只有浅浅的湖水，船篙也只能入水一半。
远帆如不动，原树竞相高。	远远望去帆船好像一动不动，近岸的树争相比高。
岁已占秋旱，民犹望雨膏。	占卜发现今年秋季都会干旱，百姓仍然在盼望降下雨水滋润土壤。
涸鳞如可活，吾敢畏波涛？	只要能让遭受旱灾的百姓过上好的生活，我渡湖时遭受一些风浪波折也没关系。
十里风埃过鄚州，忽开双眼见清流。	风沙十里吹过鄚州，睁开双眼忽然看见那清澈的水流。
绿杨影里平桥路，数尽渔船数白鸥。	翠绿的白杨树影倒映在水面的小桥上，我激动的一遍又一遍数着河上的渔船和白鸥。
一蓑一笠一扁舟，一丈丝纶一寸钩。	戴着一顶斗笠披着一件蓑衣坐在一只小船上，一丈长的渔线一寸长的鱼钩；
一曲高歌一樽酒，一人独钓一江秋。	高声唱一首渔歌喝一樽酒，一个人在这秋天的江上独自垂钓。
吴头楚尾路如何？烟雨秋深暗自波。	吴头楚尾之地的路是坎坷还是顺坦？在细雨之中慢慢进了深秋，秋天的江水暗自起伏。
晚趁寒潮渡江去，满林黄叶雁声多。	晚上趁着寒冷的潮水渡过江去，眼中尽是黄叶，耳边尽是雁嘶。
年来肠断秣陵舟，梦绕秦淮水上楼。	一年多来那停泊秣陵画舫行舟让人想念，秦淮水上阁楼让人魂牵梦绕。
十日雨丝风片里，浓春艳景似残秋。	整个大地都笼罩在多日的细雨微风中，浓艳的春景在我眼中却似残秋哀景。
江干多是钓人居，柳陌菱塘一带疏。	江边上居住的大部分是以捕鱼为生的人，在杨柳依依的路边和菱角飘香的塘堤上房屋稀稀疏疏的分布着。
好是日斜风定后，半江红树卖鲈鱼。	夕阳西下、微风习习的傍晚美不胜收，江边红枫树下大半都在叫卖鲈鱼。
东风作意吹杨柳，绿到芜城第几桥？	和煦的春风情意绵绵地吹拂着杨柳，这满眼的翠绿该是蔓延到当年话别的芜城亭桥了吧？
欲折一枝寄相忆，隔江残笛雨萧萧。	想要攀折一枝赠与你，以寄相思之意，隔江对岸突然飘来了断断续续的笛声。
白鸟朱荷引画桡，垂杨影里见红桥，欲寻往事已魂消。	白的鸟儿，红的荷花，把我的画船引导；只见水里的垂杨影里，还有弯弯的红桥；我想追寻这里有过的往事，却禁不住已黯然魂消。
遥指平山山外路，断鸿无数水迢迢，新愁分付广陵潮。	远望蜀冈上的平山堂，只见平山堂外路茫茫；天空有无数失群的大雁，江水流向远方；我心中涌出了无数新愁，却只能把它交给广陵潮水，因为它波澜起伏和潮水一样。
山郡逢春复乍晴，陂塘分出几泉清？	春天阴晴多变，此时突然放晴，阳光下的池塘里流出一股股清凉的泉水。
郭边万户皆临水，雪后千峰半入城。	济南素有“家家泉水，户户垂杨”之称。春雪过后城南千佛山的山影映入城中，无处不赏心悦目。
秋来何处最销魂？残照西风白下门。	何处的秋柳最令人伤魂？莫过于残阳下西风里的白下门。
他日差池春燕影，只今憔悴晚烟痕。	往日春天几只燕子在参差不齐的柳枝间穿梭，如今笼罩在烟霭中，在萧瑟的西风里轻轻摇曳。
愁生陌上黄骢曲，梦远江南乌夜村。	原野上飘荡着悼念御骑战死的哀乐，像江南乌夜村这样的荣华富贵之梦已永远不可重现。
莫听临风三弄笛，玉关哀怨总难论。	别再听那樵伊临风的笛声，“春风不度玉门关”的哀怨总归难评。
凉夜沉沉花漏冻，欹枕无眠，渐觉荒鸡动。	寒冷的夜晚室内十分沉静，莲花漏器无声仿佛被凝冻；我斜靠在枕上难以入眠，听到荒鸡打鸣一声又一声。
此际闲愁郎不共，月移窗罅春寒重。	这寂寞中的愁情郎不知，月光移动射进了窗缝，春夜的寒气愈来愈重。
忆共锦衾无半缝，郎似桐花，妾似桐花凤。	想起一起生活时，合盖锦被不留半点缝；那时郎像梧桐花，我像采花的桐花凤。
往事迢迢徒入梦，银筝断续连珠弄。	连绵不尽的往事啊，在我梦里再现有何用？想强打精神奏一支《连珠弄》，却又弹断银色筝弦想弹弹不成。
扬子秋残暮雨时，笛声雁影共迷离。	深秋暮雨的扬子江雾色迷蒙，笛声追随着孤雁共同没入无边天际。
重来三月青山道，一片风帆万柳丝。	初春时节重新走在这青山道上，江面航船静静行驶，柳条犹如丝带满挂堤岸。
新歌细字写冰纨，小部君王带笑看。	阮大铖用小字把新歌恭录素绢上，福王带着微笑观赏精彩的歌舞。
千载秦淮呜咽水，不应仍恨孔都官。	千百年来秦淮河流淌着呜咽的流水，不应再恨孔范还有人比他更突出。
十里田田荷芰风，渔舠如叶出花中。	荷芰田田吹过十里清风，如刀渔船拨开莲叶荡出荷花丛中。
鹅儿湖北烟初暝，背指明霞几缕红。	鹅儿湖北岸暮霭升起湖面渐渐昏暗，渔人背身指着天上几道火红彩霞。
娟娟凉露欲为霜，万缕千条拂玉塘。	秋天凉凉的露水快要结成白霜，万千柳条正随风飘拂于池塘的岸边水上。
浦里青荷中妇镜，江干黄竹女儿箱。	水中的荷叶好似妇人所用的妆镜，那水边的黄竹可以做成少女的箱子。
空怜板渚隋堤水，不见琅琊大道王。	可惜板渚、隋堤景色依旧，再不见穿着华美衣衫的贵家少年穿梭往来。
若过洛阳风景地，含情重问永丰坊。	倘若有幸经过洛阳这让人羡慕的风景地，定会满怀感情的踏访永丰坊。
出镇淮门，循小秦淮折而北，陂岸起伏多态，竹木蓊郁，清流映带。人家多因水为园亭树石，溪塘幽窃而明瑟，颇尽四时之美。拿小艇，循河西北行，林木尽处，有桥宛然，如垂虹下饮于涧；又如丽人靓妆袨服，流照明镜中，所谓红桥也。	出了镇淮门，沿着小秦淮河向北走，岸边起伏姿态多样，竹木郁郁葱葱，映照得河水愈发清幽。河边的人家大都傍水而建园亭树石，溪塘幽深而莹净，颇得四时的美丽。乘了小艇，沿河向西北而行，树林的尽头，有一座桥宛然而见，既像是一道垂虹向下饮于涧中，流光四溢；又像是一个装扮漂亮的美人正照着镜子，顾盼生辉。这就是人们所说的红桥了。
游人登平山堂，率至法海寺，舍舟而陆径，必出红桥下。	游客登平山堂，大多都要去法海寺，往往要下船而选择步行，所以必定要经过红桥。
桥四面触皆人家荷塘。	红桥四面都是荷塘。
六七月间，菡萏作花，香闻数里，青帘白舫，络绎如织，良谓胜游矣。	六七月间，荷花开了，香气能飘到数里之外，于是来往游玩的船只络绎不绝，可以说是快意的游览了。
予数往来北郭，必过红桥，顾而乐之。	而我多次往来城北门，都要经过红桥，环视周围，以此为乐。
登桥四望，忽复徘徊感叹。	登上红桥，四处观望，忽然又徘徊感叹。
当哀乐之交乘于中，往往不能自喻其故。	悲伤与快乐交织在心中，却往往说不出其中的缘故。
王谢冶城之语，景晏牛山之悲，今之视昔，亦有怨耶！壬寅季夏之望，与箨庵、茶村、伯玑诸子，倚歌而和之。	王羲之和谢安登上冶城时的感叹，齐景公和晏子游于牛山时生发的悲凉，现在看来，也是有怨的啊康熙元年六月十五日，我与箨庵、茶村、伯玑一行人，依律而互相唱和。
箨庵继成一章，予以属和。	箨庵接着加了一章，我跟着他唱和。
嗟乎！丝竹陶写，何必中年；山水清音，自成佳话，予与诸子聚散不恒，良会未易遘，而红桥之名，或反因诸子而得传于后世，增怀古凭吊者之徘徊感叹如予今日，未可知者。	唉，用音乐来陶冶情操何必要等到中年呢？山水清音，本就是一段佳话。我与朋友们或聚或散，本来就不恒久，而好的盛会也并不是轻易就能遇到的，所以红桥的名字，或许反而因我们几个而流传于后世，为后世怀古凭吊者平添些徘徊感叹，就如同我今日一般，这又有谁说得准呢。
溪路行将尽，初过北峡关。	临溪的小路似乎要走到尽头的时候，我刚好翻过桐城和舒城交界的北峡关。
几行红叶树，无数夕阳山。	斜阳西下，几行红叶树后是连绵起伏的龙眠山。
乡信凭黄耳，归心放白鹇。	将家书托付给黄耳灵犬，思乡的心由白鹇鸟带回故乡。
龙眠图画里，安得一追攀。	眼前就是李公麟画中所描绘的山水，我能否仿效前贤归隐此地，终老斯乡。
饱挂轻帆趁暮晴，寒江依约落潮平。	趁着傍晚天气晴好鼓满风帆江中行，隐隐约约见到天寒时的长江潮退浪又平。
吴山带雨参差没，楚火沿流次第生。	朦胧细雨中高低不平的吴山时隐时现，舟船济济沿江渔火依次明。
名士尚传麾扇渡，踏歌终怨石头城。	麾扇渡口人们依然怀旧事，石头城下人们仍在踏着节拍唱歌诉怨情。
南朝无限伤心史，惆怅秦淮玉笛声。	南朝匆匆一部亡国伤心史，秦淮怅怅玉笛又奏哀苦声。
万事有不平，尔何空自苦。	世间万事没有绝对的公平，你何必自寻无来由的烦恼？
长将一寸身，衔木到终古？	若只凭你这寸长的身躯，衔着木头填海要填到何时。
我愿平东海，身沉心不改。	我愿意填平这东海，即便身体沉入海中心也绝不悔改。
大海无平期，我心无绝时。	只要大海没有被填平，我填海之心将永不泯灭。
呜呼！君不见，	呜呼！你看不到，
西山衔木众鸟多，鹊来燕去自成窠。	西山之上的飞禽虽衔木者众多，但都在自己忙着筑自己的巢歇息！
人之为学，不日进则日退。独学无友，则孤陋而难成。久处一方，则习染而不自觉。不幸而在穷僻之域，无车马之资，犹当博学审问，古人与稽，以求其是非之所在，庶几可得十之五六。若既不出户，又不读书，则是面墙之士，虽有子羔、原宪之贤，终无济于天下。子曰：“十室之邑，必有忠信如丘者焉，不如丘之好学也。”夫以孔子之圣，犹须好学，今人可不勉乎？	人做学问，如果不是天天进步，那就是在天天退步。如果没有学伴，见解就会片面浅显，难以学成。在一个环境里待久了，会染上某些习气而自己没有察觉。如果不幸处于穷乡僻壤，没有坐马车的盘缠，也仍要广泛的猎取学问并详细考究。要与古人的思想相合，以便知道学问的正确与否，这样一来，差不多能掌握学问的十分之五六。如果又不岀门去，又不去读书，则是如面壁一般，对学问一无所知，即使是有子羔、原宪那样的贤能，对国家还是没有用处的。孔子说：“即使只有十户人家的小村子，也一定有像我这样讲忠信的人，只是不如我那样好学罢了。”连孔子这样的圣人，也仍须努力地学习，现在的人难道不该以此勉励自己吗？
十载江南事已非，与君辛苦各生归。	故国已经远去十年了，处处物是人非，我和你辛苦遭逢，艰难生存在现今。
愁看京口三军溃，痛说扬州十日围。	我想起京口三军溃败就愁闷，想起扬州血洗十日便内心万分悲苦。
碧血未消今战垒，白头相见旧征衣。	死国难的烈士们血洒疆场，那段历史不可遽消，而此刻不得不面对白头早衰了。
东京朱祜年犹少，莫向尊前叹式微。	你要学汉时朱祜，不要消沉与哀叹。
愁听关塞遍吹笳，不见中原有战车。	关塞处处吹起胡笳，让人心中忧愁，可偏偏看不到中原地区有战车出发。
三户已亡熊绎国，一成犹启少康家。	楚国三户遗民已将秦国灭掉，方圆十里的土地依然能复兴少康之家。
苍龙日暮还行雨，老树春深更著花。	苍龙日暮时分还腾空行雨，老树在春深时更是开出新花。
待得汉庭明诏近，五湖同觅钓鱼槎。	等到汉家朝廷获胜的明诏到来，你我泛游五湖，同去寻觅钓鱼的木筏。
是日惊秋老，相望各一涯。	重阳节这一天突然发现已经到了晚秋时节，不免心惊，你我天各一方只能遥相瞩望。
离怀销浊酒，愁眼见黄花。	离别思念的情怀唯有靠浊酒排遣，忧愁中满目都是丛生的菊花。
天地存肝胆，江山阅鬓华。	我且把自己这一腔报国的忠肝义胆留存给苍天大地，让故国的江山见证我斑白的鬓角吧。
多蒙千里讯，逐客已无家。	多多承蒙你千里之外的关怀询问，我流落在外如同被放逐一样，已经无家可归。
清切频吹越石笳，穷愁犹驾阮生车。	刘越石频频吹奏着胡笳，笳声清越激切；阮籍尝独自驾车而出，走到途穷之处便恸哭趋车而回。
时当汉腊遗臣祭，义激韩雠旧相家。	正当汉人的腊日，先朝遗臣照样按礼祭祀，凛然大义永远激励着深怀亡国仇恨的旧相之家。
陵阙生哀回夕照，河山垂泪发春花。	夕阳回照着先朝的陵墓宫阙，使人频添悲哀，河山流下眼泪，期待着大地发出新花。
相将便是天涯侣，不用虚乘犯斗槎。	你我相互扶持，便是天涯的伴侣，用不着再白白去乘那浮海的木筏。
鼎湖当日弃人间，破敌收京下玉关。	君王当年离开了人间，将军破敌收京让开了山海关。
恸哭六军俱缟素，冲冠一怒为红颜。	全军痛哭披上了缟素，哪知道将军冲冠一怒是为了红颜。
红颜流落非吾恋，逆贼天亡自荒宴。	还说红颜流落不是他所系恋，还说逆贼命定灭亡是因为迷于饮宴。
电扫黄巾定黑山，哭罢君亲再相见。	像闪电般扫荡黄巾平定黑山，哭毕君王和老父亲再和她相见。
相见初经田窦家，侯门歌舞出如花。	初次和她相见是在田弘遇之家，侯门的歌舞演起来真像繁花。
许将戚里箜篌伎，等取将军油壁车。	田弘遇把会演唱的她献给将军，只等将军来娶就送上油壁香车。
家本姑苏浣花里，圆圆小字娇罗绮。	她的家本在姑苏浣花里，小名叫圆圆衬上罗绮更娇丽。
梦向夫差苑里游，宫娥拥入君王起。	她曾在梦里到当年夫差的宫苑里游嬉，被宫娥拥簇进去君王正身起。
前身合是采莲人，门前一片横塘水。	她前身真应是西施采莲女，门前也正临横塘水清碧。
横塘双桨去如飞，何处豪家强载归。	横塘里双桨摇动船去快如飞，哪家豪门硬要把她强买回。
此际岂知非薄命，此时唯有泪沾衣。	这时谁知不是薄命。这时只有泪湿褛表。
薰天意气连宫掖，明眸皓齿无人惜。	田弘遇将陈圆圆送入宫中，可明眸皓齿的她竟没有获得君王怜惜。
夺归永巷闭良家，教就新声倾坐客。	从宫掖里领回来仍留在田弘遇家，让她练好时兴歌曲来倾倒贵客。
坐客飞觞红日暮，一曲哀弦向谁诉？	责客们传杯宴饮直到日暮，哀弦中她的心曲向谁倾诉。
